age_days	branch	last_commit_date	author_email	files_changed	family	category	keep_candidate
296	origin/codex/align-button-block-to-the-right-q7gf9k	2025-09-01	pavelsur07@gmail.com	1	origin/codex/align-button-block-to-the-right	DELETE_ANCIENT	true
295	origin/codex/fix-transaction-saving-error-in-cashtransactioncontroller	2025-09-02	pavelsur07@gmail.com	1	origin/codex/fix-transaction-saving-error-in-cashtransactioncontroller	DELETE_ANCIENT	true
281	origin/codex/remove	2025-09-16	pavelsur07@gmail.com	3	origin/codex/remove	DELETE_ANCIENT	true
278	origin/codex/implement-token-authorization-for-public-api-k7xau3	2025-09-19	pavelsur07@gmail.com	5	origin/codex/implement-token-authorization-for-public-api	DELETE_ANCIENT	true
278	origin/codex/implement-token-authorization-for-public-api	2025-09-19	pavelsur07@gmail.com	5	origin/codex/implement-token-authorization-for-public-api	DELETE_ANCIENT	false
278	origin/codex/add-apijson-method-to-reportcashflowcontroller	2025-09-19	pavelsur07@gmail.com	1	origin/codex/add-apijson-method-to-reportcashflowcontroller	DELETE_ANCIENT	true
265	origin/codex/refactor-plcategory-with-crud-ui	2025-10-02	pavelsur07@gmail.com	12	origin/codex/refactor-plcategory-with-crud-ui	DELETE_ANCIENT	true
263	origin/codex/investigate-async-messenger-configuration	2025-10-04	pavelsur07@gmail.com	1	origin/codex/investigate-async-messenger-configuration	DELETE_ANCIENT	true
261	origin/codex/fix-docker-compose-socket-proxy-error-jqtm0x	2025-10-06	pavelsur07@gmail.com	1	origin/codex/fix-docker-compose-socket-proxy-error	DELETE_ANCIENT	true
252	origin/codex/implement-payment-calendar-page	2025-10-15	pavelsur07@gmail.com	6	origin/codex/implement-payment-calendar-page	DELETE_ANCIENT	true
242	origin/codex/refactor-ui-to-match-tabler-io	2025-10-26	pavelsur07@gmail.com	3	origin/codex/refactor-ui-to-match-tabler-io	DELETE_ANCIENT	true
241	origin/codex/refactor-_sidebar-to-remove-macros	2025-10-26	pavelsur07@gmail.com	1	origin/codex/refactor-_sidebar-to	DELETE_ANCIENT	true
232	origin/codex-6oftok	2025-11-04	pavelsur07@gmail.com	1	origin/codex	DELETE_ANCIENT	false
206	origin/codex/add-create-document-button-in-payment-schedule	2025-11-30	pavelsur07@gmail.com	2	origin/codex/add-create-document-button-in-payment	DELETE_ANCIENT	true
205	origin/codex/refactor-pl-preview-ui-rlne2j	2025-12-01	pavelsur07@gmail.com	1	origin/codex/refactor-pl-preview-ui	DELETE_ANCIENT	true
189	origin/codex/create-empty-cardreceiptingest-module	2025-12-18	pavelsur07@gmail.com	9	origin/codex/create-empty-cardreceiptingest	DELETE_ANCIENT	true
183	origin/codex/add-migration-rules-and-ci-checks	2025-12-24	pavelsur07@gmail.com	3	origin/codex/add-migration-rules-and-ci	DELETE_ANCIENT	true
183	origin/codex/add-ci-job-for-empty-db-migration-le1u8w	2025-12-24	pavelsur07@gmail.com	1	origin/codex/add-ci-job-for-empty-db-migration	DELETE_ANCIENT	false
183	origin/codex/add-ci-job-for-empty-db-migration-ge1me6	2025-12-24	pavelsur07@gmail.com	1	origin/codex/add-ci-job-for-empty-db-migration	DELETE_ANCIENT	false
183	origin/codex/add-ci-job-for-empty-db-migration-3lhq64	2025-12-24	pavelsur07@gmail.com	1	origin/codex/add-ci-job-for-empty-db-migration	DELETE_ANCIENT	false
183	origin/codex/add-ci-job-for-empty-db-migration-2qsm3t	2025-12-24	pavelsur07@gmail.com	1	origin/codex/add-ci-job-for-empty-db-migration	DELETE_ANCIENT	true
183	origin/codex/add-ci-job-for-empty-db-migration	2025-12-24	pavelsur07@gmail.com	1	origin/codex/add-ci-job-for-empty-db-migration	DELETE_ANCIENT	false
177	origin/codex/update-composer-dependencies-for-php-version	2025-12-30	pavelsur07@gmail.com	2	origin/codex/update-composer-dependencies-for-php	DELETE_STALE	true
177	origin/codex/fix-missing-php-zip-extension	2025-12-30	pavelsur07@gmail.com	4	origin/codex/fix-missing-php-zip-extension	DELETE_STALE	true
160	origin/codex/fix-migration-error-with-balance_categories-x4y55x	2026-01-15	pavelsur07@gmail.com	1	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-uizd5p	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-sjlkr8	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-rp8m4z	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-q7r4l0	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_STALE	true
160	origin/codex/fix-migration-error-with-balance_categories-ogt3zg	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-i62uuc	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-gtqvwz	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-gau23w	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-bje61b	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-9l8zbb	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories-8q7xpz	2026-01-15	pavelsur07@gmail.com	2	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
160	origin/codex/fix-migration-error-with-balance_categories	2026-01-15	pavelsur07@gmail.com	1	origin/codex/fix-migration-error-with-balance_categories	DELETE_OLD_DUP	false
156	origin/codex/update-project-selection-to-show-hierarchy	2026-01-19	pavelsur07@gmail.com	4	origin/codex/update-project-selection-to-show-hierarchy	DELETE_STALE	true
156	origin/codex/add-reusable-projectdirectionpicker-widget	2026-01-19	pavelsur07@gmail.com	10	origin/codex/add-reusable-projectdirectionpicker	DELETE_STALE	true
