               shop_ref               |     d      |    type    | direction | cnt  | amount_minor 
--------------------------------------+------------+------------+-----------+------+--------------
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | bonus      | in        | 1060 |     21680768
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | bonus      | out       |    4 |        93667
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | commission | in        |    2 |        67640
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | commission | out       |  583 |     16014345
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | fee        | in        |   32 |        18612
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | fee        | out       | 1948 |      5983728
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | other      | out       |   92 |      8723240
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | refund     | out       |    2 |       178000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-01 | sale       | in        |  583 |     40271800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | bonus      | in        | 1184 |     24302000
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | bonus      | out       |    2 |        69514
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | commission | in        |    1 |        61512
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | commission | out       |  640 |     18239082
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | fee        | in        |   29 |        18421
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | fee        | out       | 2081 |      6426204
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | other      | in        |    1 |        42669
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | other      | out       |  107 |      9329736
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | refund     | out       |    1 |       139800
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-02 | sale       | in        |  640 |     45293400
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | bonus      | in        | 1371 |     29006420
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | bonus      | out       |    8 |       246350
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | commission | in        |    4 |       214892
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | commission | out       |  754 |     21492388
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | fee        | in        |   28 |        16474
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | fee        | out       | 2499 |      7837514
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | other      | out       |  101 |      8816528
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | refund     | out       |    4 |       492700
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-03 | sale       | in        |  754 |     52882900
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | bonus      | in        | 1200 |     23215111
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | bonus      | out       |    4 |        97661
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | commission | in        |    2 |        67152
 148a5bb6-02fa-40b6-a854-33d84efaa223 | 2026-07-04 | commission | out       |  662 |     16964007
