               shop_ref               |    type    |  cnt   | amount_minor 
--------------------------------------+------------+--------+--------------
 148a5bb6-02fa-40b6-a854-33d84efaa223 | bonus      |  78061 |   1603657333
 148a5bb6-02fa-40b6-a854-33d84efaa223 | commission |  42857 |   1227053229
 148a5bb6-02fa-40b6-a854-33d84efaa223 | fee        | 139339 |    395566808
 148a5bb6-02fa-40b6-a854-33d84efaa223 | other      |   5540 |    539648552
 148a5bb6-02fa-40b6-a854-33d84efaa223 | refund     |    158 |     13281200
 148a5bb6-02fa-40b6-a854-33d84efaa223 | sale       |  42699 |   3000499200
 90b72323-784a-4268-88aa-10778c3da78b | bonus      |   4576 |    347019070
 90b72323-784a-4268-88aa-10778c3da78b | commission |   2418 |    283240182
 90b72323-784a-4268-88aa-10778c3da78b | fee        |  21568 |     83825686
 90b72323-784a-4268-88aa-10778c3da78b | other      |    513 |     42229176
 90b72323-784a-4268-88aa-10778c3da78b | refund     |    192 |     47430900
 90b72323-784a-4268-88aa-10778c3da78b | sale       |   2226 |    544132100
 e6457d19-c833-4770-989e-7fd8526f87e3 | bonus      |  11756 |    720952075
 e6457d19-c833-4770-989e-7fd8526f87e3 | commission |   6408 |    385146020
 e6457d19-c833-4770-989e-7fd8526f87e3 | fee        |  33964 |    298167078
 e6457d19-c833-4770-989e-7fd8526f87e3 | other      |    964 |    487124921
 e6457d19-c833-4770-989e-7fd8526f87e3 | refund     |    154 |     84989600
 e6457d19-c833-4770-989e-7fd8526f87e3 | sale       |   6254 |   2498778618
 f01dd285-fe54-43cf-baf8-507d34ad66c0 | bonus      |   1238 |    181855788
 f01dd285-fe54-43cf-baf8-507d34ad66c0 | commission |    697 |    197877798
 f01dd285-fe54-43cf-baf8-507d34ad66c0 | fee        |   4605 |     25161763
 f01dd285-fe54-43cf-baf8-507d34ad66c0 | other      |    295 |     32254016
 f01dd285-fe54-43cf-baf8-507d34ad66c0 | refund     |     36 |     22475200
 f01dd285-fe54-43cf-baf8-507d34ad66c0 | sale       |    661 |    387601900
(24 rows)

